Title Campaign,Label
Kampanye Kesadaran HIV/AIDS: Meningkatkan Pengetahuan dan Pencegahan Penyebaran Penyakit,0
Program Pemberdayaan Ekonomi Petani: Mendukung Petani dalam Meningkatkan Produktivitas dan Pendapatan,0
"Kegiatan Bantuan Darurat untuk Pengungsi: Memberikan Bantuan Pangan, Air, dan Tempat Tinggal bagi Pengungsi",0
Aksi Pembersihan Lingkungan Tambang: Merawat Lingkungan sekitar Tambang dari Dampak Negatif,1
Program Pembersihan Rawa: Menjaga Ekosistem Rawa dari Sampah dan Polusi,1
Jadilah bagian dari gerakan inklusi dan keadilan sosial - setiap individu berhak mendapatkan kesempatan yang setara!,0
Mengadakan kampanye pengurangan penggunaan plastik sekali pakai dan mengedukasi masyarakat tentang pentingnya pengelolaan sampah yang baik,1
"Saling membantu, menyebarkan senyuman, dan merawat satu sama lain - bersama kita bisa menciptakan dunia yang lebih baik!",0
Kegiatan Relawan Pembersihan Sampah di Sungai Kapuas,1
Hadirkan harapan dan kebahagiaan di tengah kegelapan dengan menyumbangkan waktu dan tenaga Anda kepada mereka yang membutuhkan.,0
Gerakan Pembersihan Pesisir Pulau: Menghilangkan Sampah yang Terdampar di Pulau-pulau,1
Program Bimbingan Karir: Memberikan Bimbingan dan Keterampilan untuk Meningkatkan Kesempatan Kerja,0
Relawan Bencana: Memberikan Bantuan Darurat dan Rehabilitasi Pasca-Bencana,0
Relawan Kesejahteraan Lanjut Usia: Memberikan Bantuan dan Perhatian untuk Lansia,0
Pembersihan Area Wisata: Mempertahankan Keindahan Wisata dengan Menjaga Kebersihan,1
Melakukan pengadaan tempat sampah yang memadai dan edukasi tentang pentingnya pembuangan sampah yang tepat guna bersama kelompok komunitas lingkungan,1
Gerakan Penggalangan Dana untuk Pendidikan: Membantu Masyarakat dalam Memenuhi Biaya Pendidikan,0
Program Pembersihan Jalan Raya: Menghilangkan Sampah di Pinggir Jalan,1
Gerakan Pembersihan Area Industri: Mengelola Sampah dan Limbah Industri dengan Benar,1
"Menjadi sukarelawan dalam program daur ulang di daerah kami, membantu mengumpulkan dan memisahkan sampah untuk diolah kembali",1
Mari bergabung bersama kami dalam menginspirasi generasi masa depan melalui kegiatan seni dan kreativitas!,0
Hari Peduli Lingkungan Sekolah: Membersihkan Lingkungan Sekolah dan Menanam Pohon,1
Kegiatan Pembersihan Kawasan Wisata Air: Mempertahankan Keaslian,1
Gerakan Donor Darah: Mendukung Pasokan Darah untuk Kebutuhan Medis,0
Kampanye Pembersihan Danau: Membersihkan Danau dari Sampah dan Limbah,1
Gerakan Anti Bullying: Mengedukasi tentang Bahaya Bullying dan Mempromosikan Kepedulian,0
Melakukan aksi penanaman pohon di area terdegradasi setiap Sabtu untuk mengurangi dampak deforestasi,1
Aksi Relawan Pendidikan Anak Usia Dini: Memberikan Stimulasi dan Bimbingan untuk Anak-anak Usia Dini,0
Aksi Relawan Kesehatan Masyarakat: Memberikan Layanan Kesehatan Dasar di Daerah Terpencil,0
Gerakan Pengurangan Pemborosan Makanan: Mengedukasi Masyarakat tentang Pentingnya Mengurangi Pemborosan Makanan,0
Kegiatan Pendampingan Anak Terlantar: Memberikan Pendampingan dan Perhatian bagi Anak-anak Terlantar,0
Bangun komunitas yang kuat dengan saling mendukung dan memperkuat keterikatan sosial di antara sesama.,0
Kampanye Pembersihan Taman Kota: Membuang Sampah dengan Bertanggung Jawab,1
Hari Bakti Lingkungan: Mengajak Masyarakat Bergerak Bersama dalam Pembersihan Lingkungan,1
Mendukung kampanye pelestarian satwa liar dengan menjadi sukarelawan di pusat penangkaran dan mengedukasi pengunjung tentang perlindungan hewan langka,1
Kampanye Kesadaran tentang Kebersihan Sanitasi: Mengedukasi Masyarakat tentang Pentingnya Sanitasi yang Baik,0
Program Donasi Buku untuk Sekolah Pedesaan: Menyediakan Bahan Bacaan untuk Sekolah-sekolah di Pedesaan,0
Kegiatan Pendampingan Lansia: Memberikan Pendampingan dan Perhatian bagi Lansia yang Tinggal Sendiri,0
Kampanye Pembersihan Lingkungan Perumahan: Menjaga Kebersihan di Kompleks Perumahan,1
Kegiatan Pembersihan Lahan Terbuka: Membersihkan Sampah dan Mengembalikan Keaslian Alam,1
Aksi Bersih Pantai: Membersihkan Sampah di Tepi Pantai,1
Kampanye Kesadaran Kanker: Mengedukasi Masyarakat tentang Pencegahan dan Deteksi Dini,0
"Mengorganisir acara ""Hari Bumi"" yang melibatkan komunitas lokal dalam kegiatan perbaikan lingkungan seperti penanaman bunga dan pembersihan area publik",1
"Terlibat dalam proyek penghijauan kota, menanam pohon di taman-taman kota untuk meningkatkan kualitas udara dan menciptakan lingkungan yang lebih sehat",1
Program Kesehatan Masyarakat: Menyediakan Layanan Kesehatan dan Edukasi Kesehatan,0
Kampanye Anti Kekerasan Terhadap Perempuan: Mengedukasi dan Mendorong Kesadaran tentang Kesetaraan Gender,0
Kampanye Pembersihan Lautan Dalam: Menjaga Kebersihan dan Kesehatan Lautan,1
Gerakan Pengurangan Penggunaan Plastik Sekali Pakai: Mengedukasi Masyarakat tentang Dampak Negatif Plastik Sekali Pakai,0
"Berpartisipasi dalam program pengurangan emisi karbon, dengan menggunakan transportasi umum dan bersepeda sebagai alternatif kendaraan pribadi",1
Kampanye Pembersihan Ruang Publik: Mengajak Masyarakat untuk Menjaga Kebersihan Lingkungan Kota,1
Aksi Relawan Kesehatan Mental: Mendorong Kesadaran dan Pemahaman tentang Kesehatan Mental,0
Kegiatan Pemberdayaan Usaha Kecil: Membantu Pemilik Usaha Kecil dalam Meningkatkan Pendapatan,0
Perjuangkan hak asasi manusia dan keadilan global dengan menjadi suara bagi mereka yang terpinggirkan dan tidak didengar.,0
Aksi Relawan Panti Rehabilitasi: Membantu Rehabilitasi dan Pemulihan bagi Pengguna Narkoba,0
Aksi Pembersihan Waduk: Menjaga Kualitas Air dan Kebersihan Waduk,1
Kegiatan Pengembangan Kewirausahaan: Memberikan Pelatihan dan Bantuan bagi Calon Pengusaha,0
Aksi Pembersihan Lingkungan Pesisir: Merawat Pantai dari Sampah dan Limbah,1
Ekspedisi Pembersihan Gunung: Membersihkan Sampah di Jalur Pendakian,1
Gerakan Pembersihan Hutan Mangrove: Memelihara Ekosistem Mangrove dengan Membersihkan Sampah,1
Program Bantuan Kesehatan Gigi Gratis: Memberikan Layanan Kesehatan Gigi Gratis untuk Masyarakat yang Tidak Mampu,0
Mari berkontribusi untuk mengakhiri kelaparan di dunia dengan menyumbangkan makanan dan sumber daya kepada mereka yang kurang beruntung.,0
Program Pengembangan Bakat Anak: Mendukung Pertumbuhan Potensi Kreatif dan Bakat Anak-anak,0
Kegiatan Pemberdayaan Perempuan: Mendorong Kemandirian dan Keterampilan Perempuan,0
Kegiatan Pemberdayaan Usaha Mikro: Memberikan Pelatihan dan Bantuan untuk Usaha Mikro,0
Kampanye Kesadaran Penggunaan Energi: Mengedukasi Masyarakat tentang Penghematan Energi dan Energi Terbarukan,0
"Melakukan kegiatan pemulihan ekosistem bersama komunitas lingkungan, seperti membersihkan dan menjaga kelestarian hutan mangrove",1
Pembersihan Hutan: Merawat Hutan dari Sampah dan Material Berbahaya,1
Gerakan Pemberdayaan Penyandang Disabilitas: Menyediakan Aksesibilitas dan Kesempatan bagi Penyandang Disabilitas,0
Relawan Pengajaran Bahasa Inggris: Memberikan Bimbingan dalam Belajar Bahasa Inggris kepada Masyarakat,0
Gerakan Pembersihan Sungai dan Kanal: Membuang Sampah agar Air Tetap Bersih,1
Kampanye Pembersihan Pasar: Mengajak Pedagang dan Pengunjung Membuang Sampah dengan Benar,1
Gerakan Donasi Makanan: Mengumpulkan Makanan yang Tidak Terpakai untuk Didistribusikan kepada Masyarakat yang Membutuhkan,0
Kurangi stres dan kecemasan dengan mendukung kegiatan kesehatan mental dan mempromosikan pola hidup seimbang.,0
Kegiatan Pemberdayaan Remaja: Menyediakan Pelatihan dan Bimbingan bagi Remaja,0
Minggu Bersih Kampus: Menggalang Mahasiswa Membersihkan Kampus dari Sampah,1
Kegiatan Pembersihan Desa: Mengajak Warga Membersihkan Lingkungan Desa,1
Program Pengentasan Kemiskinan: Memberikan Dukungan dan Bantuan untuk Masyarakat Miskin,0
Bersama-sama kita bisa merubah hidup anak-anak dengan memberikan pendidikan yang berkualitas dan akses yang adil.,0
